Word,Count
the,2687
a,2060
be,1434
in,1240
form,1185
to,910
{@link,888
*,868
,791
<p>This,709
value,709
or,699
is,597
reference,569
attribute,569
theme,569
<p>Must,534
(in,530
can,480
found,461
@see,446
attribute's,444
offset,444
array,444
<tr><td><code>{@link,444
name,444
@attr,444
where,444
symbol,444
of,402
another,304
\"\<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>"\\,304
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\\,304
\resource,\,304
<colgroup,295
/>,295
\align="\left"\\,295
\value,\,293
resource,282
\"\<code>@[<i>package</i>:]<i>type</i>:<i>name</i></code>"\)\,265
this,265
containing,265
type,265
may,265
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\)\,265
also,265
such,210
as,210
with,190
floating,170
point,170
on,161
which,155
number,153
appended,153
unit,142
Available,141
px,141
dp,141
\size),\,141
mm,141
\"\<code>14.5sp</code>"\\,141
sp,141
(millimeters),141
(scaled,141
pixels,141
\(inches),\,141
\pixels),\,141
based,141
dimension,141
(density-independent,141
font,141
preferred,141
are:,141
\(pixels),\,141
units,141
<p>May,138
#AppCompatTheme},115
</table>,110
<table>,110
following,110
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,75
constant,75
one,75
values.</p>,75
#ConstraintSet},64
by,62
#ConstraintLayout_Layout},49
either,48
\"\<code>#<i>argb</i></code>"\,\,47
\"\<code>#<i>rgb</i></code>"\,\,47
\"\<code>#<i>aarrggbb</i></code>"\\,47
\"\<code>#<i>rrggbb</i></code>"\,\,47
color,47
<tr><td><code>parent</code></td><td>0</td><td></td></tr>,39
Attributes,36
used,36
that,36
boolean,36
\"\<code>false</code>"\\,36
\"\<code>true</code>"\\,36
attributes:</p>,35
<tr><th>Attribute</th><th>Description</th></tr>,35
<p>Includes,35
#ActionBar},29
#Toolbar},29
string,25
escape,25
for,25
characters,25
unicode,25
'\\n',25
'\\;',25
'\\uxxxx',25
character,25
using,25
%,24
suffix,24
generated,19
NOT,19
DO,19
MODIFY,19
alex.lahdekorpi,18
not,18
Created,18
it,17
AUTO-GENERATED,17
was,17
This,17
automatically,17
hand,17
It,17
#SearchView},17
class,17
#MenuItem},17
from,17
FILE,17
\"\<code>1.2</code>"\\,17
data,17
should,17
modified,17
an,16
\"\<code>100</code>"\\,15
gradle,15
plugin,15
integer,15
#SwitchCompat},14
%p,12
<tr><td><code>spread</code></td><td>0</td><td></td></tr>,12
parent,12
percentage,12
base,12
always,12
means,12
some,12
provides,12
The,12
\%p,\,12
optional,12
fractional,12
\"\<code>14.5%</code>"\\,12
size;,12
relative,12
container,12
size,12
'|'),10
more,10
<tr><td><code>multiply</code></td><td>14</td><td></td></tr>,10
(separated,10
<tr><td><code>src_over</code></td><td>3</td><td></td></tr>,10
<tr><td><code>src_atop</code></td><td>9</td><td></td></tr>,10
#TextAppearance},10
<tr><td><code>src_in</code></td><td>5</td><td></td></tr>,10
<tr><td><code>screen</code></td><td>15</td><td></td></tr>,10
#LinearLayoutCompat},9
#MenuView},9
#DrawerArrowToggle},8
#AlertDialog},7
#AppCompatTextHelper},7
#ActionMode},6
#MenuGroup},6
<tr><td><code>add</code></td><td>16</td><td></td></tr>,6
<tr><td><code>packed</code></td><td>2</td><td></td></tr>,6
<tr><td><code>spread_inside</code></td><td>1</td><td></td></tr>,6
<tr><td><code>wrap</code></td><td>1</td><td></td></tr>,6
5.7.2017,5
27.6.2017,5
#View},5
#Spinner},5
android.R.attr#orientation},4
android:id}</code></td><td></td></tr>,4
android:orientation}</code></td><td></td></tr>,4
touch,4
android.R.attr#id},4
android:orientation,4
<tr><td><code>none</code></td><td>0</td><td></td></tr>,4
android:id,4
#LinearLayoutCompat_Layout},4
#AppCompatSeekBar},4
lepakko,4
alexlahdekorpi.bclepakko:popupTheme,3
#ViewStubCompat},3
#ColorStateListItem},3
#CompoundButton},3
alexlahdekorpi.bclepakko.R.attr#popupTheme},3
#ViewBackgroundHelper},3
28.6.2017,3
#PopupWindow},3
alexlahdekorpi.bclepakko:popupTheme}</code></td><td></td></tr>,3
alexlahdekorpi.bclepakko.R.attr#layout_constraintBottom_toTopOf},2
#ConstraintLayout_Layout_android_orientation,2
alexlahdekorpi.bclepakko.R.attr#backgroundSplit},2
#AppCompatTheme_actionModeCutDrawable,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintTop_toTopOf},2
alexlahdekorpi.bclepakko:layout_constraintEnd_toStartOf,2
#View_android_focusable,2
#AppCompatTheme_textAppearanceListItem,2
alexlahdekorpi.bclepakko:layout_constraintRight_toLeftOf}</code></td><td></td></tr>,2
#AppCompatTheme_ratingBarStyle,2
#AppCompatTheme_dropDownListViewStyle,2
#ConstraintSet_layout_constraintGuide_percent,2
<tr><td><code>tabMode</code></td><td>2</td><td></td></tr>,2
\href="\http://d.android.com/tools/testing"\>Testing\,2
#AppCompatTheme_actionModePopupWindowStyle,2
#AppCompatTheme_editTextBackground,2
#ActionBar_background,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintVertical_weight},2
alexlahdekorpi.bclepakko:titleTextStyle,2
alexlahdekorpi.bclepakko:contentInsetRight,2
alexlahdekorpi.bclepakko:contentInsetRight}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintHeight_default}</code></td><td></td></tr>,2
#MenuItem_android_checkable,2
alexlahdekorpi.bclepakko:contentInsetStartWithNavigation}</code></td><td></td></tr>,2
#Spinner_android_popupBackground,2
<tr><td><code>disableHome</code></td><td>0x20</td><td></td></tr>,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintBaseline_toBaselineOf},2
