File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\androidTest\debug\alexlahdekorpi\bclepakko\test\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\debug\alexlahdekorpi\bclepakko\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\alexlahdekorpi\bclepakko\test\R.java,17,8,5,0,3,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\app\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support\test\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\R.java,14,6,4,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\idling\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support\test\rule\R.java,14,6,4,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\alexlahdekorpi\bclepakko\R.java,9423,1808,1667,0,4,0,7611,36568,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\compat\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\constraint\R.java,187,179,178,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\coreui\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\coreutils\R.java,11,3,2,0,2,0,6,32,6,32
