Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,40,12151,4128,3838,36,233,0,7790,37323,108,562
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko,40,12151,4128,3838,36,233,0,7790,37323,108,562
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app,40,12151,4128,3838,36,233,0,7790,37323,108,562
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build,19,11263,3509,3367,0,41,0,7713,37098,108,562
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated,19,11263,3509,3367,0,41,0,7713,37098,108,562
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source,19,11263,3509,3367,0,41,0,7713,37098,108,562
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig,2,28,18,16,0,4,0,6,18,6,18
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\androidTest,1,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\androidTest\debug,1,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\androidTest\debug\alexlahdekorpi,1,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\androidTest\debug\alexlahdekorpi\bclepakko,1,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\androidTest\debug\alexlahdekorpi\bclepakko\test,1,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\debug,1,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\debug\alexlahdekorpi,1,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\buildConfig\debug\alexlahdekorpi\bclepakko,1,14,9,8,0,2,0,3,9,3,9
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r,17,11235,3491,3351,0,37,0,7707,37080,102,544
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest,6,78,29,19,0,13,0,36,192,36,192
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug,6,78,29,19,0,13,0,36,192,36,192
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\alexlahdekorpi,1,17,8,5,0,3,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\alexlahdekorpi\bclepakko,1,17,8,5,0,3,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\alexlahdekorpi\bclepakko\test,1,17,8,5,0,3,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android,5,61,21,14,0,10,0,30,160,30,160
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\app,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support,4,50,18,12,0,8,0,24,128,24,128
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support\test,4,50,18,12,0,8,0,24,128,24,128
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support\test\espresso,2,25,9,6,0,4,0,12,64,12,64
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\idling,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\androidTest\debug\android\support\test\rule,1,14,6,4,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug,11,11157,3462,3332,0,24,0,7671,36888,66,352
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\alexlahdekorpi,1,9423,1808,1667,0,4,0,7611,36568,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\alexlahdekorpi\bclepakko,1,9423,1808,1667,0,4,0,7611,36568,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android,10,1734,1654,1665,0,20,0,60,320,60,320
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support,10,1734,1654,1665,0,20,0,60,320,60,320
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\compat,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\constraint,1,187,179,178,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\coreui,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\coreutils,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\fragment,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\graphics,2,22,6,4,0,4,0,12,64,12,64
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\graphics\drawable,2,22,6,4,0,4,0,12,64,12,64
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\graphics\drawable\animated,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\mediacompat,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\v4,1,11,3,2,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\v7,1,1459,1451,1471,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\build\generated\source\r\debug\android\support\v7\appcompat,1,1459,1451,1471,0,2,0,6,32,6,32
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src,21,888,619,471,36,192,0,77,225,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\androidTest,1,27,15,11,0,6,0,6,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\androidTest\java,1,27,15,11,0,6,0,6,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\androidTest\java\alexlahdekorpi,1,27,15,11,0,6,0,6,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\androidTest\java\alexlahdekorpi\bclepakko,1,27,15,11,0,6,0,6,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main,19,844,595,454,36,183,0,66,180,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java,19,844,595,454,36,183,0,66,180,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi,19,844,595,454,36,183,0,66,180,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko,19,844,595,454,36,183,0,66,180,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject,14,547,376,281,21,121,0,50,134,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject\Bullets,3,110,73,53,3,28,0,9,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject\Enemies,3,128,92,68,4,27,0,9,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject\PowerUps,1,40,28,22,0,9,0,3,8,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject\SpaceObjectInterfaces,5,66,31,26,0,20,0,15,40,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\test,1,17,9,6,0,3,0,5,21,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\test\java,1,17,9,6,0,3,0,5,21,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\test\java\alexlahdekorpi,1,17,9,6,0,3,0,5,21,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\test\java\alexlahdekorpi\bclepakko,1,17,9,6,0,3,0,5,21,0,0
