Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,21,888,619,471,36,192,0,77,225,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src,21,888,619,471,36,192,0,77,225,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\androidTest,1,27,15,11,0,6,0,6,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\androidTest\java,1,27,15,11,0,6,0,6,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\androidTest\java\alexlahdekorpi,1,27,15,11,0,6,0,6,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\androidTest\java\alexlahdekorpi\bclepakko,1,27,15,11,0,6,0,6,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main,19,844,595,454,36,183,0,66,180,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java,19,844,595,454,36,183,0,66,180,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi,19,844,595,454,36,183,0,66,180,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko,19,844,595,454,36,183,0,66,180,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject,14,547,376,281,21,121,0,50,134,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject\Bullets,3,110,73,53,3,28,0,9,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject\Enemies,3,128,92,68,4,27,0,9,24,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject\PowerUps,1,40,28,22,0,9,0,3,8,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\main\java\alexlahdekorpi\bclepakko\SpaceObject\SpaceObjectInterfaces,5,66,31,26,0,20,0,15,40,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\test,1,17,9,6,0,3,0,5,21,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\test\java,1,17,9,6,0,3,0,5,21,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\test\java\alexlahdekorpi,1,17,9,6,0,3,0,5,21,0,0
C:\Users\alex.lahdekorpi\AndroidStudioProjects\BCLepakko\app\src\test\java\alexlahdekorpi\bclepakko,1,17,9,6,0,3,0,5,21,0,0
